statement_id,key,value
511,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?","I build a house for my son, except this I didn't purchase any significant possession. Rather I sold my cattle."
512,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
513,"Please tell me how relationships within your household have changed in the past three years, if at all.","I discuss with my wife to decide over family issues. We did that even before. If, for instance, she gets sick I take her to health institutions and she also does the same for me. We have been managing in the same way since our marriage and it is getting better over the past three years."
514,Overall how do you feel that relationships within your household have changed…,No change
515,What is the main reason for any change?,NA
516,Do you feel that there has been any change in the way people in the community work together?,The kebele planned to build school and we built in collaboration. I have no more information apart from this. An organization called Send A Cow promised us to help our children but later disappeared without doing anything.
517,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
518,What is the main reason for any change?,NA
519,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
520,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,"Thanks to God, we are better. In terms of our belief and family life we are good because we believe in God. God tells us not to be hopeless and in all regards we are expecting things will become better. Things are changing for the better."
521,"How hopeful are you for the future, do you feel your wellbeing will improve?","I hope things will be good because we pray God. We urge him to change our life, helping us to stop drinking and other unnecessary things. If we follow Gods’ way it will be ok. I cannot withstand unless God help me in dealing with such problems. I will try but I am also struggling now."
522,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
523,"Important links to organisations, activity & change",Important link to Idir - control and punish deviant members
524,"Important links to organisations, activity & change","Important link to Church - Worshiping, attending holidays"
525,"Important links to organisations, activity & change",Important link to  -
526,"Important links to organisations, activity & change",Important link to  -
527,"Important links to organisations, activity & change",Important link to  -
528,"Important links to organisations, activity & change",Important link to  -
529,"Important links to organisations, activity & change",Important link to  -
530,"Important links to organisations, activity & change",Important link to  -
531,"Important links to organisations, rank",Idir - 2
532,"Important links to organisations, rank",Church - 1
533,"Important links to organisations, rank",-
534,"Important links to organisations, rank",-
535,"Important links to organisations, rank",-
536,"Important links to organisations, rank",-
537,"Important links to organisations, rank",-
538,"Important links to organisations, rank",-
539,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
540,Note down any of your own observations which you think are relevant.,It was an interesting interview where I have learned a lot.
541,Household code,LBF-29
542,Name of kebele,Waraza Lasho
543,Name of interviewer,Muluken Tamirat
544,Date of interview,12/28/18
545,Start time of interview  (hh:mm),14:00
546,End time of interview (hh:mm),14:21
547,Duration of interview (in minutes),21
548,Please can you tell me who currently belongs to your household?,NA
549,What is the age of the main respondent?,20
550,What is the education of the main respondent?,8
551,What is the household size (residents > 6months)?,4
552,How many under 18's in the household?,2
553,How many under 16's in full time education in the household?,1
554,Please note down the sex of the head of the household.,Male
555,Does anyone in the household have a chronic illness or disability?,No
556,Please tell me about any changes in the health of your household during this period.,"Thank God, our health situation has improved over the last three years. It is because we keep our sanitation and hygiene well. We also treat our children properly. We eat our meals on time. We keep sanitation of children and environment. Health extension workers trained us to do so. We have tap water in the compound of the kebele but the problem is it does not meet the demand and also it is not served regularly. So we go to a distant area to fetch drinking water."
557,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
558,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
559,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
560,What is the main reason for any change?,"There is no difference. The hungry season is the hungry season. Because during this season people have nothing at hand, there is no difference."
561,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Decreased
562,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Worse
563,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.","From my income I buy food for supper, lunch, and breakfast and also I buy fire wood. We also buy grass for cows. We spend more than what we earn. We spend much on food. Eating three times a day requires much expenditure. They [officials] started to organize us to save but did not do that. We also started to save in our neighbourhood. We saved for three months but we stopped because we could not manage it. My husband also does not save."
564,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
565,"Please tell me how relationships within your household have changed in the past three years, if at all.","It is my husband who decides. There is no difference in the last three years. it is always my husband who decides. Until he comes back from his work, I look after my children and send them to school, I cook for them and also rear animals. He takes responsibility for things that are beyond my capacity and I also discharge things that I can."
566,Overall how do you feel that relationships within your household have changed…,No change
567,What is the main reason for any change?,NA
568,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","I am a member in Idir and saving associations even though the saving association dispersed. There is no difference regarding my relationship with the community in the last three years. In the associations I did not have a special role I was just an ordinary member. The saving association has dispersed now, although I like saving."
569,Do you feel that there has been any change in the way people in the community work together?,There is no difference in this regard. We all do our activities independently without collaboration.
570,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
571,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
572,"How hopeful are you for the future, do you feel your wellbeing will improve?","I am hopeful for the future because of awareness I get, like what you are doing. I believe that if, for instance, we save and invest the money on other income generating activities, we can change our life."
573,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
574,"Important links to organisations, activity & change","Important link to Church - celebrating holiday, worship"
575,"Important links to organisations, activity & change",Important link to Idir - self help association that support during death.
576,"Important links to organisations, activity & change",Important link to  -
577,"Important links to organisations, activity & change",Important link to  -
578,"Important links to organisations, activity & change",Important link to  -
579,"Important links to organisations, activity & change",Important link to  -
580,"Important links to organisations, activity & change",Important link to  -
581,"Important links to organisations, activity & change",Important link to  -
582,"Important links to organisations, rank",Church - 1
583,"Important links to organisations, rank",Idir - 2
584,"Important links to organisations, rank",-
585,"Important links to organisations, rank",-
586,"Important links to organisations, rank",-
587,"Important links to organisations, rank",-
588,"Important links to organisations, rank",-
589,"Important links to organisations, rank",-
590,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
591,Note down any of your own observations which you think are relevant.,It was good interview
592,Household code,LBF-30
593,Name of kebele,Waraza Lasho
594,Name of interviewer,Muluken Tamirat
595,Date of interview,12/27/18
596,Start time of interview  (hh:mm),15:00
597,End time of interview (hh:mm),15:31
598,Duration of interview (in minutes),31
599,Please can you tell me who currently belongs to your household?,NA
600,What is the age of the main respondent?,30
601,What is the education of the main respondent?,2
602,What is the household size (residents > 6months)?,3
603,How many under 18's in the household?,2
604,How many under 16's in full time education in the household?,0
605,Please note down the sex of the head of the household.,Female
606,Does anyone in the household have a chronic illness or disability?,No
607,Please tell me about any changes in the health of your household during this period.,"Praise the lord, we are good though sometimes we suffer from malaria. When we become sick of malaria we go to health stations. However, the service we get from health stations is not as urgent as we need. Thus we mostly go to private health clinics. While adults or children visit the government health stations, the nurses couldn't treats the patient as fast as possible. They say 'we are for coffee break, eating our lunch' or say other things that delay the services. Thus, we prefer to go to private clinics even though we have shortage of money. The health station is near but its service isn’t a quality one. The other problem is that even if they [health professional in the health station] have medicine in their store, they prescribe us it from outside. They focused on questioning and urge us whether we have paid health insurance rather than treating the patient. As my husband lives in another place, I could not afford to pay health insurance alone. We keep clean our children’s clothes though they are tattered. There is no difference about hygiene over the last three years. We have problem of drinking water especially during dry season. During rainy season we use well water. We go to distant area to fetch drinking water. Moreover, during the dry season there are a high number of individuals who are using this water that make it difficult to access it. About ten kebeles use this water. This problem has existed for a long time. They repaired and maintained the water but it does not serve long."
608,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
609,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
610,What is the main reason for any change?,The amount of food we eat during hunger season is even reducing from what it had been before. The reason is that people are not hard working. In addition officials do not let us to be included as aid beneficiary programs provided by the government. We are not supported.
611,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
612,What is the main reason for any change?,NA
613,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,No change
614,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Not sure
615,What is the main reason for any change?,NA
616,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?","I have made no significant purchases because the trade/other livelihood activity is not fruitful as it was before. If I want to make significant purchases to possess some assets, I am expected to spend much time, energy and money. If that is the case, my children would starve while I focus on the outside activity for money and I don’t want this to happen. In addition, to have good possession, I have to cut money that I spend to feed my children which I do not want."
617,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
618,"Please tell me how relationships within your household have changed in the past three years, if at all.",It is me who decides over family issues. I have good relationships with my children. Sometimes children become disobedient and in this case I advise them. They don’t agonize me further. With minor advice they begin to behave accordingly.
619,Overall how do you feel that relationships within your household have changed…,No change
620,What is the main reason for any change?,NA
621,"Please tell me how your relationships with others living in this community have changed during the period, if at all.",I collaborate with my community in any occasion either in the case of sorrows or happiness. There is no difference in this regard. We do what our mothers accustomed to do.
622,Do you feel that there has been any change in the way people in the community work together?,"Working together is good. However, there is nobody who provides us awareness about the importance of working together and who organizes us to work together. There is no leader in this regard."
623,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
624,What is the main reason for any change?,NA
625,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
626,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,"People are worried. People wish to live better life as the wealthy members of the community.  Though this is biblically not encouraged, people have such kind of feeling. I thank God for being healthy, however, individuals internally have many things that make them worry."
627,"How hopeful are you for the future, do you feel your wellbeing will improve?","God knows about our future. If my husband, who is away now, is able to save some money, we may improve our life. With the help of God, if someone is fortunate he can be changed. I will help my community in everything I can, for instance, it could be through supporting others in labour works and helping the needy."
628,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
629,"Important links to organisations, activity & change",Important link to Church - Participating in affairs concerning us
630,"Important links to organisations, activity & change",Important link to Idir - Collecting and depositing money for funeral and death related issues
631,"Important links to organisations, activity & change",Important link to  -
632,"Important links to organisations, activity & change",Important link to  -
633,"Important links to organisations, activity & change",Important link to  -
634,"Important links to organisations, activity & change",Important link to  -
635,"Important links to organisations, activity & change",Important link to  -
636,"Important links to organisations, activity & change",Important link to  -
637,"Important links to organisations, rank",Church - 1
638,"Important links to organisations, rank",Idir - 2
639,"Important links to organisations, rank",-
640,"Important links to organisations, rank",-
641,"Important links to organisations, rank",-
642,"Important links to organisations, rank",-
643,"Important links to organisations, rank",-
644,"Important links to organisations, rank",-
645,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
646,Note down any of your own observations which you think are relevant.,"It was a good interview, the interviewee was responding without further probing."
647,Household code,WAF-17
648,Name of kebele,Wachiga Busha
649,Name of interviewer,Muluken Tamirat
650,Date of interview,01/02/2019
651,Start time of interview  (hh:mm),02:00
652,End time of interview (hh:mm),02:30
653,Duration of interview (in minutes),30
654,Please can you tell me who currently belongs to your household?,NA
655,What is the age of the main respondent?,25
656,What is the education of the main respondent?,8
657,What is the household size (residents > 6months)?,8
658,How many under 18's in the household?,6
659,How many under 16's in full time education in the household?,6
660,Please note down the sex of the head of the household.,Male
661,Does anyone in the household have a chronic illness or disability?,No
662,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
663,What is the main reason for any change?,The erratic rainfall and change in the wind has affected our harvest. We have to pay off the debt that we took for fertilizer. Last year we faced total crop failure. But it is better this year.
664,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
665,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
666,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.","The sole source of our income is farming, both my husband and my self have no income source other than the farming activity. Both for food and income, we rely on farming only."
667,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Not sure
668,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",No change
669,What is the main reason for any change?,NA
670,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",I have bought a cow that gives milk and chicken that helped me in improving my livelihood. It also helped me to meet the need of my children and to support their education.
671,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",I have bought a cow that gives milk and chicken that helped me in improving my livelihood. It also helped me to meet the need of my children and to support their education.
672,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
673,What is the main reason for any change?,I have benefited a lot since I joined the send organization that works with Wolima (Wollayita development association). I have saved money and borrowed that enabled me to access other productive resource.
674,"Please tell me how relationships within your household have changed in the past three years, if at all.","Whatever we do, whether buying or selling assets or other issues, we first discuss and decide after reaching a consensus. We do everything in discussion and we have a healthy and good relationship."
675,Overall how do you feel that relationships within your household have changed…,Better
676,What is the main reason for any change?,We know that individual decision would lead to disagreement and conflict. We have experienced that working together helps us to improve our livelihood.
677,Do you feel that there has been any change in the way people in the community work together?,People get gathered in Idir weekly as well as 1 to 5 networks and discuss about their concerns. Training related to health and other issues was given them. The kebele is planning to construct a new road in addition to the already existing road which was built very recently. Biogas was introduced to the kebele though only 20 people from kebele adopted it because it is complicated to use.
678,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
679,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
680,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
681,"Important links to organisations, activity & change",Important link to  -
682,"Important links to organisations, activity & change",Important link to  -
683,"Important links to organisations, activity & change",Important link to  -
684,"Important links to organisations, activity & change",Important link to  -
685,"Important links to organisations, activity & change",Important link to  -
686,"Important links to organisations, activity & change",Important link to  -
687,"Important links to organisations, activity & change",Important link to  -
688,"Important links to organisations, rank",Send a Cow - 1
689,"Important links to organisations, rank",-
690,"Important links to organisations, rank",-
691,"Important links to organisations, rank",-
692,"Important links to organisations, rank",-
693,"Important links to organisations, rank",-
694,"Important links to organisations, rank",-
695,"Important links to organisations, rank",-
696,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
697,Note down any of your own observations which you think are relevant.,She was confident in her explanation and seems very sure about the things she talks about.
698,Household code,WAF-26
699,Name of kebele,Wachiga Busha
700,Name of interviewer,Muluken Tamirat
701,Date of interview,12/29/18
702,Start time of interview  (hh:mm),03:00
703,End time of interview (hh:mm),03:38
704,Duration of interview (in minutes),38
705,Please can you tell me who currently belongs to your household?,NA
706,What is the age of the main respondent?,80
707,What is the education of the main respondent?,None
708,What is the household size (residents > 6months)?,4
709,How many under 18's in the household?,2
710,How many under 16's in full time education in the household?,1
711,Please note down the sex of the head of the household.,Male
712,Does anyone in the household have a chronic illness or disability?,Yes
713,"Overall, how has the income your family earns from farming changed during the past three years?",Improved
714,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
715,What is the main reason for any change?,"What we identify as good or bad varies from year to year. We aren’t concerned about the future. Thus, every year's  condition is different. For instance,  last year was bad and we had bought food from the market as the heavy sun caused total crop failure. However, this year seems better."
716,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
717,What is the main reason for any change?,NA
718,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.","My husband engages in selling wood to urban dwellers and makes an income out of it. Except my husband's engagement in wood selling, we don't have any other non-farm activity to earn income. Our livelihood mainly depends on farming activity."
719,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
720,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Worse
721,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",I have bought chicken which helped me in supporting my livelihood.
722,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
723,What is the main reason for any change?,"Sometimes it gets improved and sometimes it gets decreased. Vegetables are not as productive as they used to be. I have also to pay the debt of fertilizer. The sickness of my child and later his death obliged me to spend more in expensive funeral ceremony that eroded my financial base. Thus, I have outstanding debit that I have to pay back."
724,"Please tell me how relationships within your household have changed in the past three years, if at all.",We live and work peacefully with my husband. We make household decisions. We care for each other and help each other. There is a good relationship between us. All decisions are made after we have a discussion and reach an agreement.
725,Overall how do you feel that relationships within your household have changed…,Better
726,What is the main reason for any change?,We have learnt that working in agreement and caring for each other is good for us.
727,"Please tell me how your relationships with others living in this community have changed during the period, if at all.",I live in harmony and peace with others. I avoid relationships with people who don't have good character. I also actively participate in idir and other areas that concern my family.
728,Do you feel that there has been any change in the way people in the community work together?,Some people work together to develop themselves while others refrain from it and chose to lead individual life.
729,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
730,What is the main reason for any change?,NA
731,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
732,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,"The only problem I had been suffering was about the health condition of my child. Despite that I'm well in my life, I didn't suffer a lot to meet things needed for my livelihood."
733,"How hopeful are you for the future, do you feel your wellbeing will improve?",God knows about the future. I only know about today. I hope that the future will be good and bright.
734,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
735,"Important links to organisations, activity & change","Important link to Send a Cow - engage in Saving and credit provision, support in giving chicken"
736,"Important links to organisations, activity & change",Important link to Idir - Depositing money and give credit for emergencies
737,"Important links to organisations, activity & change",Important link to  -
738,"Important links to organisations, activity & change",Important link to  -
739,"Important links to organisations, activity & change",Important link to  -
740,"Important links to organisations, activity & change",Important link to  -
741,"Important links to organisations, activity & change",Important link to  -
742,"Important links to organisations, activity & change",Important link to  -
743,"Important links to organisations, rank",Send a Cow - 1
744,"Important links to organisations, rank",Idir - 2
745,"Important links to organisations, rank",-
746,"Important links to organisations, rank",-
747,"Important links to organisations, rank",-
748,"Important links to organisations, rank",-
749,"Important links to organisations, rank",-
750,"Important links to organisations, rank",-
751,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",Let you take what is important from what I told you. I also thank you for the interview.
752,Note down any of your own observations which you think are relevant.,"The interviewee seems hurt due to the loss of her child, that is what has been displayed in her face whenever she raised issues related to her child."
753,Household code,WAM-19
754,Name of kebele,Wachiga Busha
755,Name of interviewer,Muluken Tamirat
756,Date of interview,12/29/18
757,Start time of interview  (hh:mm),06:00
758,End time of interview (hh:mm),06:33
759,Duration of interview (in minutes),33
760,Please can you tell me who currently belongs to your household?,NA
761,What is the age of the main respondent?,40
762,What is the education of the main respondent?,6
763,What is the household size (residents > 6months)?,5
764,How many under 18's in the household?,2
765,How many under 16's in full time education in the household?,2
766,Please note down the sex of the head of the household.,Male
767,Does anyone in the household have a chronic illness or disability?,No
768,Has anything changed in the way you farm for home consumption or income in the last three years?,"With regard to farming, in the last three years I had got my own grain store, locally called ‘Gotera’, a store harvest. I had two oxen for farming and I farm independently without asking others for oxen. I am producing teff, maize and other cash crops. Unfortunately this year teff has low yield in the community, though I had got better product from teff. This year, in order to  diversify my agricultural productions I had begun to produce cassava for the first time. Generally, there is a change in production and consequently this increased my income. This is the result of  my struggle. I am competing with others and trying to change my life seeing how others are progressing and changing their life from rural area to urban cities. I am committed to change my life and want to transform from rural life to urban life as my friends did. 
With regard to vegetables and fruits, we are not experienced with such kind of products (fruit and vegetable production) as our community has a problem of water shortage. Therefore, I am not producing fruits and vegetables. I am producing cash crops like maize and teff. But earn a significant income from apiculture. I have around 38 beehives. This sector is the base for my diversification of agricultural activities. 
In relation with livestock I have different livestock such as cow, beef and oxen. I have milked cows from which my family is getting milk and milk products. I also fatten beefs and sell for a good price when the market price rises. I do a  market survey in advance and sell the fattened beef in a market where the price is high. Generally, there is change and improvement in my life and my family life. What makes me different from others is I am saving and I am not an extravagant person, I sell my cattle and beef as per my plan. I sell it out when the market price is good and planed for purpose.
Regarding production for home consumption and income, I am producing maize, teff and sorghum for market while cereals for home consumption. I am selling maize in April and June when the market price rises; it is not sold before this period. Other products will be sold when there is good market."
769,Has anything changed in the way you farm for home consumption or income in the last three years?,"With regard to farming, in the last three years I had got my own grain store, locally called ‘Gotera’, a store harvest. I had two oxen for farming and I farm independently without asking others for oxen. I am producing teff, maize and other cash crops. Unfortunately this year teff has low yield in the community, though I had got better product from teff. This year, in order to  diversify my agricultural productions I had begun to produce cassava for the first time. Generally, there is a change in production and consequently this increased my income. This is the result of  my struggle. I am competing with others and trying to change my life seeing how others are progressing and changing their life from rural area to urban cities. I am committed to change my life and want to transform from rural life to urban life as my friends did. 
With regard to vegetables and fruits, we are not experienced with such kind of products (fruit and vegetable production) as our community has a problem of water shortage. Therefore, I am not producing fruits and vegetables. I am producing cash crops like maize and teff. But earn a significant income from apiculture. I have around 38 beehives. This sector is the base for my diversification of agricultural activities. 
In relation with livestock I have different livestock such as cow, beef and oxen. I have milked cows from which my family is getting milk and milk products. I also fatten beefs and sell for a good price when the market price rises. I do a  market survey in advance and sell the fattened beef in a market where the price is high. Generally, there is change and improvement in my life and my family life. What makes me different from others is I am saving and I am not an extravagant person, I sell my cattle and beef as per my plan. I sell it out when the market price is good and planed for purpose.
Regarding production for home consumption and income, I am producing maize, teff and sorghum for market while cereals for home consumption. I am selling maize in April and June when the market price rises; it is not sold before this period. Other products will be sold when there is good market."
770,"Overall, how has the income your family earns from farming changed during the past three years?",Improved
771,What is the main reason for any change?,In last three years my agricultural product is increased in the way I stated above. I am producing various products which could be one of the reasons for change. I am producing for home consumption and for market and also save what I get.
772,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
773,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
774,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
775,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
776,What is the main reason for any change?,The ability to purchase household goods has increased because of my commitment and earning an expected income in return. I also bought motorbike for my son from my profit and now he is providing transportation service and earning a living from this bike.
777,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
778,What is the main reason for any change?,For the future I am planning to get urban land for housing and to build house in Gesuba town. I have capacity to buy land in town and build my house there in an urban area as my friends did. My purchasing power and capacity has increased. It is mainly because of my commitment and hard working effort.
779,Overall how do you feel that relationships within your household have changed…,Better
780,What is the main reason for any change?,Better awareness and improved livelihood of my family
781,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","During this period the relationship between communities is peaceful. I am fast and most of the time community accepts me as a model and indicates me as a virtuous person, as I hate lies. I am not betraying, I am trying to be honest always. Therefore, community considers me as a model and leader."
782,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
783,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
784,"How hopeful are you for the future, do you feel your wellbeing will improve?","I believe in my God that I am living and my life will be changed by him. Therefore, I am hopeful for the future that  better improvement will come next. I hope in the near future, I may shift from the rural area to urban area and also hope that I will buy a car as my friends did. I am looking for a bright future. For community development I am playing my role but there is negligence of some community members to work on common issues."
785,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
786,"Important links to organisations, activity & change","Important link to Idir - Depositing money, borrowing money for emergencies"
787,"Important links to organisations, activity & change","Important link to Church - celebrating holidays, praying to bring positive changes in the community"
788,"Important links to organisations, activity & change",Important link to  -
789,"Important links to organisations, activity & change",Important link to  -
790,"Important links to organisations, activity & change",Important link to  -
791,"Important links to organisations, activity & change",Important link to  -
792,"Important links to organisations, activity & change",Important link to  -
793,"Important links to organisations, rank",Idir - 3
794,"Important links to organisations, rank",Send a Cow - 2
795,"Important links to organisations, rank",Church - 1
796,"Important links to organisations, rank",-
797,"Important links to organisations, rank",-
798,"Important links to organisations, rank",-
799,"Important links to organisations, rank",-
800,"Important links to organisations, rank",-
801,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
802,Note down any of your own observations which you think are relevant.,"It was very interesting interview, the interviewee explained a lot without asking many probing questions."
803,Household code,WBF-76
804,Name of kebele,Wachiga Busha
805,Name of interviewer,Muluken Tamirat
806,Date of interview,01/03/2019
807,Start time of interview  (hh:mm),11:00
808,End time of interview (hh:mm),11:20
809,Duration of interview (in minutes),20
810,Please can you tell me who currently belongs to your household?,NA
811,What is the age of the main respondent?,28
812,What is the education of the main respondent?,10
813,What is the household size (residents > 6months)?,5
814,How many under 18's in the household?,3
815,How many under 16's in full time education in the household?,0
816,Please note down the sex of the head of the household.,Male
817,Does anyone in the household have a chronic illness or disability?,No
818,Please tell me about any changes in the health of your household during this period.,"In the last three years there has not been that much improvement in our health.  We feel sick sometimes because of diarrhoea, malaria, fever and other [diseases] occur in our community. With regard to clean and healthy environment, we are striving our best, but I cannot say we are living in a safe and clean environment because we are living in a rural community with cattle. We lack potable and clean water in our community. We have been drinking water which is not clean for a long period of time simply believing God. The problem of water is a continuous problem that the community is suffering with and we are using the river water for drinking."
819,"Overall, how has the income your family earns from farming changed during the past three years?",No change
820,What is the main reason for any change?,"In last three years there has been no change at all. What we produce from farming is not for the market, it is simply for home consumption. Even it is not enough for home consumption. This is because the plot of land we hold is very small."
821,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
822,What is the main reason for any change?,"There is no improvement in the food that we eat. Our staple food is maize. We are cooking the maize and prepare different kinds of food out of it. When I say variety of food, it means we are cooking maize product in different style. Locally, we use maize for 'nifro, posese, qita' and other type of food. This is because we do not have variety of products."
823,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",No change
824,What is the main reason for any change?,"In last three years there is no change in the kind of food we eat, we eat what we ate before. There is no change. We are eating the product of maize and cereals as our staple food in normal time as well as in hungry time. It is because we don't produce different variety and at the same time the production is very small."
825,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.","There is no income that we can get from non-farming activity. My husband is a farmer, I am taking care of my children. Thus, we are not getting any livelihood from other sources. Our life is not based on plans; we don’t know our income and our spending. We don't get opportunities to be employed as a daily labour or to engage in petty trading activity."
