text,female,key2,key3,key4,key5,key6,key7,statement,source__id
"I enjoy my bike but would not cycle along the busy road between Clevedon and Yatton. I also enjoy walking and have walked from Yatton to Cheddar a few times ,it would be good to be able to walk from Clevedon to Cheddar without having to get my car out to first drive to Yatton station",NA,NA,NA,NA,NA,NA,NA,125,121
A path to Yatton from Clevedon would encourage me to use the train to commute to Bristol rather than drive. It would also mean that both me and my family would be able to cycle much more frequently and more importantly safely which is difficult to do at present,0,NA,NA,NA,NA,NA,NA,126,122
It is a massive help for my commute to and from clevedon and allows me to get some exercise along the way,0,NA,NA,NA,NA,NA,NA,127,123
"My sons learnt to ride their bikes on the strawberry line from Yatton. It's a shame we had to jump in our car to get there in the first place. Especially when we are trying to educate or boys about healthy lifestyle, minimising car journies to tackle climate change, etc. And the roads connecting Yatton to Clevedon and Portishead are fast and dangerous for kids to cycle along. If the strawberry line were extended, we would use it so much.",NA,NA,NA,NA,NA,NA,NA,128,124
I am a mentor so by having a cycle path from clevedon to yatton would be great as my mentees love cycling and would get so much out of it,0,NA,NA,NA,NA,NA,NA,129,125
....,NA,NA,NA,NA,NA,NA,NA,130,126
I have been scout leader since 2012 and you can't get scouts safety to the strawberry line for a fabulous bike ride. So we need a connection badly.,0,NA,NA,NA,NA,NA,NA,131,127
"I LIVE IN CONGRESBURY AND WORK IN CLEVEDON. I HAVE 2 YOUNG CHILDREN WHO LOVE RIDING THEIR BIKES. HOWEVER ROADS AROUND US ARE VERY BUSY, HAVING THE ABILITY TO CYCLE FURTHER ALONG THE STRAWBERRY LINE WOULD PROVIDE ALOT OF FUN AND EXERCISE AND PROMOTE HEALTHY LIVING",NA,NA,NA,NA,NA,NA,NA,132,128
"It's a dangerous cycle ride from Clevedon to Yatton and beyond. So, like most people, I drive and rarely cycle along the Strawberry line because of parking difficulties in Yatton and the problem of transporting bikes on the car. A route off-road (or on safer, quiet roads) would make such a difference and encourage frequent use of the bike rather than the car.",1,NA,NA,NA,NA,NA,NA,133,129
"To enable me to cycle to Clevedon in a safe traffic free environment. I have used the current path many times, my favourite bit is between Congresbury & Sandford.",1,NA,NA,NA,NA,NA,NA,134,130
Cycling on the Strawberry line is great with young people but even better if we could get all the way to Clevedon. Off-road paths help young people to develop skills and confidence that can then translate to the road.,1,NA,NA,NA,NA,NA,NA,135,131
"We need a cycle / pedestrian path betwen Clevedon and Yatton because it is at best dangerous to cycle / walk along the road. In a time when we need to encourage people to exercise this path should be prioritised, funded abd built. Thanks.",0,NA,NA,NA,NA,NA,NA,136,132
"I run a triathlon club for kids.  We use the Strawberry line weekly for our cycle training as cycling with a group of children on the roads is unsafe.  During the summer we extend our ride to Clevedon and swim in Marine Lake.  Its tricky to organise because of safety on the road to Clevedon.  The children 8 to 17 are trained in bike skills but many parents are required to support due to the roads between Yatton and Clevedon. The connection to Clevedon would mean Icontinue my work encouraging  children to participate  in regular outdoor activity safely.  I have a Swim School of 350 plus NS many willl progress to triathlon club.  The children deserve a safe route for all the effort they put into keeping fit and the fitter they get the further they wish to cycle so PLEASE find a way to extend the <br /><br />cycle path .  They are the future cyclists , helping to reduce cars on the road.  Ruth",1,NA,NA,NA,NA,NA,NA,137,133
"We live in Clevedon and would love to use the Strawberry line, but driving with all four bikes then paying for parking puts us off, and cycling along the dangerous stretch of road through Yatton just feels unsafe for the kids. We'd use this a lot more if we could cycle safely right from Clevedon.",0,NA,NA,NA,NA,NA,NA,138,134
My wife and I are keen walkers and pleasure cyclists. We are looking forward to retiring soon so being able to cycle to Cheddar from Clevedon without the need to drive to Yatton station would be very welcome as cycling on the road is really not an option.,0,NA,NA,NA,NA,NA,NA,139,135
For the safety of my friends!,NA,NA,NA,NA,NA,NA,NA,140,136
"I believe a path between Yatton and Clevedon would provide a good, safe and healthy  alternative to the present roads which can only become more busy and dangerous .",0,NA,NA,NA,NA,NA,NA,141,137
I now have many family members living in Clevedon I live in Claverham and consequently commute regularly. I enjoy riding my bicycle and a keen walker. I've regularly used the moors to commute but of late have found it quite harrowing with the volume and speed of traffic on the roads so welcome a the idea of a vehicle free connection. I also believe wildlife would also benefit from a corridor such as this and hope that it will entice more people outside.,1,NA,NA,NA,NA,NA,NA,142,138
"I belong to the Portishead and Clevedon Triathlon club and cycle regularly. Cycling on main roads is getting more and more dangerous so having an alternative option would not only make cycling more pleasurable, but would help car drivers as well.",1,NA,NA,NA,NA,NA,NA,143,139
"It would be nice to have a safe cycle route out of Clevedon for me and my family as we currently have to load all the bikes and drive to Yatton to use the Strawberryline, as I don't feel my children's cycling ability is up to the standard to drive the dangerous road between Clevedon and Yatton.",NA,NA,NA,NA,NA,NA,NA,144,140
"We are keen cyclists & as our children grow, we love getting them out and about and traffic free cycle routes make for an exceptional day out. Keeping them active & teaching them to be active is key to a healthy life. These routes are a considerable contribution to this.",1,NA,NA,NA,NA,NA,NA,145,141
So I can get to Clevedon by bike with out getting hit by a car,NA,NA,NA,NA,NA,NA,NA,146,142
"We need a dedicated cycle/pedestrian path because at the moment the roads is very hazardous due to the amount of traffic and also the speed of the cars. Also the road has lots of potholes which you have to swerve to avoid, meaning you take your life in your hands!<br /><br />I also think horses should be allowed to walk along this new oath to Hazell them and their riders have somewhere safe to hack out- lots of drivers are very intolerant of horses.",1,NA,NA,NA,NA,NA,NA,147,143
"We cyclists and pedestrians need a car -free way of travelling between the two towns. As well as promoting individual health and fitness, it also reduces the number of private car journeys.",0,NA,NA,NA,NA,NA,NA,148,144
As a member of the cycling charity Lifecycle UK Bristol we use the existing path and any increase in the facility would be used to extend the rides. Yatton is accessible by train and therefore popular with cyclists. It is also near enough to Bristol to use as part of a longer ride.,0,NA,NA,NA,NA,NA,NA,149,145
"We've just moved to Yatton and would really like an access path between Clevedon and Yatton, which would mean we don't have to rely on the car.",NA,NA,NA,NA,NA,NA,NA,150,146
"I am a pensioner who uses cycling as a means of keeping fit and mobile. The network of country lanes between Cheddar, Yatton, Weston-Super-Mare, Clevedon and Bristol, provide a variety of beautiful rides but it is bisected by some extremely busy major roads with, in most cases, facilities for cyclists or pedestrians to safely cross. For me, this limits the extent to which I can enjoy a very beautiful part of the world without considerable anxiety. An extension to the Strawberry path to Clevedon would open up my cycling jaunts, considerably.",1,NA,NA,NA,NA,NA,NA,151,147
I would like to improve my fitness and could do this with a safe flat link between Clevedon and Yatton. I would use it to visit my friends.,0,NA,NA,NA,NA,NA,NA,152,148
I am very keen on reducing my carbon footprint where ever possible and having a footpath/ cycle path from Yatton to clevedon would provide a safe way to travel to and from the station to get into Bristol or go to Exeter.,NA,NA,NA,NA,NA,NA,NA,153,149
Having the pass would allow me and my boys to go out on longer safer rides and walks direct from home rather than having to drive somewhere park up and then start from there. We currently wouldnt never think about cycling from clevedon to Yatton as the road is simply too dangerous as I have young boys and use a bike trailer there is no way Id feel safe on the main road with the speed some vehicles go.,1,NA,NA,NA,NA,NA,NA,154,150
It will give myself and my young family a safer traffic free bike route to go for a bike ride as we are not confident to ride on the main roads.,0,NA,NA,NA,NA,NA,NA,155,151
As a recently retired person I have joined Life Cycle's over 55 Group who regularly use the Strawberry Line cycle route.<br /><br />Cycling & walking are my main forms of exercise.<br /><br />Any effort to maintain or extend the route would be much appreciated by the whole group.,0,NA,NA,NA,NA,NA,NA,156,152
I am a novice cyclists and prefer to use dedicated cycle paths rather than the roads.,NA,NA,NA,NA,NA,NA,NA,157,153
"My children and I like to cycle together but it's difficult to go far without lots of cycling on roads or first using a bike rack to drive to somewhere to cycle (not practical for me). We would love to be able to ride on a safe cycle track, to explore and enjoy being outdoors and getting fitter together. A link to the Strawberry line from Clevedon where we live would make this possible for me and my family. It would be very exciting in fact!",1,NA,NA,NA,NA,NA,NA,158,154
"I would love to see the connection made to Clevedon, I am a runner/cyclist based in Clevedon, and getting to the Strawberry line can involve some awkward running over the Moor roads to Yatton to get onto the Strawberry line, and believe me it does feel like you are taking your life in your hands somedays!",0,NA,NA,NA,NA,NA,NA,159,155
"Old railway routes should be preserved for future use which may include reinstatement as a railway. The road from Yatton to Clevedon is not suitable for cyclists and pedestrians. It will be a good extension to the existing Strawberry Line path. I am the author of the book ""The East Somerset and Cheddar Valley Railways"" (Lightmoor Press) which is due to be reprinted this year.",0,NA,NA,NA,NA,NA,NA,160,156
"The existing Strawberry Line route from Yatton Station to Cheddar provides a safe place for all ages to get valuable exercise away from the polluted roads. The problem is getting to/from the start/finish. The roads from Clevedon to Yatton are becoming much busier and much more dangerous as each week goes by. Not everyone can transport bikes by car to Yatton creating an obstacle to using this simple, healthy and affordable pastime.",0,NA,NA,NA,NA,NA,NA,161,157
"I love to visit the dear little cafe at Yatton station and Clevedon is one of my favourite places. To have an off road cycle/walking route between the two would be wonderful and would encourage me to get out there more often on my bike. Now that I'm older, I'm 60 years old, I really don't like cycling on roads with traffic. I don't like the noise and feel quite intimidated when vehicles pass close by.",1,NA,NA,NA,NA,NA,NA,162,158
"I would love to see the Strawberry Line path extended to Clevedon, as a runner it would mean I can easily access the Strawberry Line without having to drive my car to Yatton.",1,NA,NA,NA,NA,NA,NA,163,159
"I know so many families, runners and cyclists who would use this tattoo to Clevedon link daily.<br /><br />It would make a huge difference to my half marathon training, and would mean more Clevedon families could access the Somerset country safely.",NA,NA,NA,NA,NA,NA,NA,164,160
A safe route from Clevedon to Yatton will provide a healthy and fast way for me to access the rail network using my bike. This will both reduce my car journeys and keep me fitter!,0,NA,NA,NA,NA,NA,NA,165,161
"It will be a healthy addition to the area, encouraging more folk to get out and get fit, loosing weight therefore keeping out of the Doctors/ Hospital surgery",NA,NA,NA,NA,NA,NA,NA,166,162
off road cycling helps to keep me - a pensioner - fit,1,NA,NA,NA,NA,NA,NA,167,163
"I already with other likeminded cyclists and walkers use the strawberry line from Yatton to cheddar Somerset, yet have to take to the busy roads to go cycling to Clevedon. I love my cycling not just for my health but for the camaraderie that exists throughout the cycling fraternity. I believe once this path has been opened to the general public it will be used regularly by hundreds of thousands not just from the local area but throughout the uk and the rest of the world. I constantly meet and talk to fellow walkers/riders who have taken their holidays walking and cycling the strawberry line, the extra continuance to Clevedon would bring much added revenue to this wonderful country. Its not just myself who needs this path but the whole uk. Please make this happen.",0,NA,NA,NA,NA,NA,NA,168,164
"My family and I live in Clevedon. We really like to cycle the Strawberry line and often drive to Yatton to pick it up there. It would be just amazing to be able to leave the car at home and cycle from our doorstep, and one day see if we can get through to Cheddar and beyond. <br /><br />I also work in Bristol and drive to Yatton for the train. With the extension I would be able to cycle to Yatton instead, taking my car off of the road.",0,NA,NA,NA,NA,NA,NA,169,165
"I'm a member of Bristol's Lifecycle over 55s cycling group, and we regularly use the Strawberry Line as part of our ride programme. It would be wonderful to have another option for some traffic-free cycling!",1,NA,NA,NA,NA,NA,NA,170,166
Im a regular cyclist on the Strawne and lanes and roads of North Somerset. My wife however is rather cautious of using roads but loves cycling to Chefdar and back. The only way to do this is to put bikes in the car and drive via Clevedon over to Yatton. If the route was extended to Clevedon it would be a short hop on mostly quiet roads to do the journey without using our car.,0,NA,NA,NA,NA,NA,NA,171,167
"I would like to use the path to commute to work either cycling, or in the summer a safe running option, as there is no footpath to allow safe transport for this journey other than via the road.",NA,NA,NA,NA,NA,NA,NA,172,168
We regularly cycle to Clevedon from Congresbury and would love a safe and quiet route. It.'s always such a disappointment to come out onto the main road and battle with the traffic. Sometimes we just decide to go in the car instead.,NA,NA,NA,NA,NA,NA,NA,173,169
"The Strawberry Line has been a source of considerable personal and family enjoyment for many years.  As a part of a cycling route; as the place my son learnt to cycle; as somewhere my family (incl. mum and dad) have had many pleasant walks; as part of a marathon my wife and two friends ran to raise money for charity.  <br /><br />Living in Portishead, we have to drive every time we wish to make use of the path.  Having the Strawberry Line from Clevedon to Yatton would make it considerably quicker / easier for us to use, and hopefully use even more.  It would also open up the possibility of cycling / walking to Clevedon and onto the path.",0,NA,NA,NA,NA,NA,NA,174,170
"Currently sufferering ill heath my husband has been advised to walk a mile a day and is finding suitable safe walking paths away from traffic, around our home (Kingston Seymour) to fit in this exercise & has to DRIVE (!!!) to another area, usually parking near to an access point for other parts of the Strawberry Line.<br /><br />.<br /><br />The main road between Yatton & Clevedon is highly dangerous to pedestrians as there is a distinct lack of footpaths.  <br /><br /><br /><br />With the huge housing expansion currently taking place in Yatton a safe route is urgently needed to Clevedon.  It would be ideal for all ages, families with children and the older gernetaion too (of which I am one) to get healthy exercise away from the traffic, fumes and lack of suitable footpaths.",1,NA,NA,NA,NA,NA,NA,175,171
"I cycle with tandem cycling group, Two's Company.  We ride with blind or partially sighted adults and disabled children.  Any additional safe routes in the Bristol area are much needed.",1,NA,NA,NA,NA,NA,NA,176,172
"Love in Portbury, work in WSM. Linking up Strawberry line would be great for my commute",NA,NA,NA,NA,NA,NA,NA,177,173
This. would reduce the need to use the car at all <br /><br />would improve our physical and mental well-being would be able to take our grandchildren <br /><br />Being outside interacting with other people who cycle and walk the route.<br /><br />Could cycle to the train station and beyond,1,NA,NA,NA,NA,NA,NA,178,174
Being an advocate of public transport the major missing link in North Somerset is between Yatton station and Clevedon.<br /><br />To cycle this route you literally have to take your life in your hands.<br /><br />The strawberry line extension would make an incredible difference.,NA,NA,NA,NA,NA,NA,NA,179,175
"I would love to go for cycle rides Along the Strawberry Line<br /><br />But am frightened by the volume of traffic, to get from Clevedon to Yatton! <br /><br />I havent been on my bike for a long long time, as there is no safe route!<br /><br />I was brought up in the country, where there wasnt a lot of traffic, and Ive never<br /><br />Gotten used to it!",NA,NA,NA,NA,NA,NA,NA,180,176
I use Strawberry line regularly... and often to Clevedon.  It would be fabulous to extend so I dont have to ride along road,1,NA,NA,NA,NA,NA,NA,181,177
"Growing up in Kingston Seymour was wonderful but the isolation of the village made it really difficult to meet up with friends and gain independence as I progressed through my teenage years. The lack of public transport and no cycle path made me almost entirely reliant on lifts from parents as my only other options to walk or cycle down a road with no pavement or street lights. The introduction of a cycle path would improve safety, especially late at  night and it would make the village less isolated.<br /><br />It would also be a great way to get active and improve 5he general health of many people.",NA,NA,NA,NA,NA,NA,NA,182,178
"I and my family moved to Kingston Bridge 38 years ago.   We have all cycled and walked to Clevedon and Yatton many times over this period.   But the B3133 is no longer the quiet B road it was when we came here.     Despite requests to reduce the speed limit it is still 40mph.  Motor traffic is often continuous and includes heavy lorries.   When cycling to Weston super Mare conditions are now even worse on the narrow B3133 than on the A370.     Needless to say that many people are too frightened of the motor traffic to cycle between Yatton and Clevedon.   Walking to Clevedon is very hazardous because there is no pavement.  We have asked for a pavement or a marked pedestrian edge at the old railway bridge but nothing has been done.<br /><br />Consequently a pedestrian and cycle route on the route of the old railway line would be very welcome to us and many others.     Combined with a link at Tutshill it is probably not too much to say that our life here would be transformed by this simple measure.    <br /><br /><br /><br />Stephen Kinsella<br /><br />On behalf of myself, my wife Claire Kinsella, our daughters Debbie Kinsella and Lizzie Kalsi and our five grandchildren.",0,NA,NA,NA,NA,NA,NA,183,179
"I live a few metres from the B3133 and take my life in my hands when I wish to pop round to neighbours or to the bus stop as there is no pavement, and in places, no verge at all (Kingston Bridge junction).   Sometimes it is necessary to walk, besides being good for one's health!   In fact, a the provision of a path would inspire many more people to improve their health by taking exercise in the course of their daily journeying/relaxation.   Currently I cycle to between Yatton and Clevedon far more often than taking the car or bus.  My friends frequently shudder and say ""how dangerous!""   Surely the Council would wish to promote acknowledged safe access for its constituents?",NA,NA,NA,NA,NA,NA,NA,184,180
It will provide a safe and pleasant extention to the present Strawberry Line to the coast.,NA,NA,NA,NA,NA,NA,NA,185,181
"As a cyclist and commuter living in Yatton and often working in Clevedon, this path would help enormously by providing a safer route for both leisure rides and my commute to work.  The benefits of the route are many: taking both cycle and car traffic off a busy and dangerous route, offering safer options to those thinking about healthier and more environmentally friendly ways of getting around and enjoying the countryside",0,NA,NA,NA,NA,NA,NA,186,182
Ive ridden from WSM to Clevedon and it wasnt a pleasant experience. The road is quite dangerous for cyclists. I love Clevedon as a resort and a safe cycle/walking route there would be excellent. I for one would use it multiple times a year.,0,NA,NA,NA,NA,NA,NA,187,183
So I can cycle to work safely.,NA,NA,NA,NA,NA,NA,NA,188,184
"The existing work done on the railway is great but it is still very dangerous to ride with a young family when coming from Clevedon unless we go by car (which defeats the object).<br /><br />Please get this link built ASAP, it will be much loved and used.",0,NA,NA,NA,NA,NA,NA,189,185
"As a non-driver, the Strawberry Line might as well be in Wales for all the use it is to me and my three sons on a bike or on foot, the town (Clevedon) is marooned, tantalisingly close but so very far from enjoying the strawberry line in a car free way.",NA,NA,NA,NA,NA,NA,NA,190,186
"We have 2 young boys who love the Strawberry Line but we dont have a vehicle to get there from Celevdon, wed all love to be able to cycle from our house and go for a nice long ride away from the road.",1,NA,NA,NA,NA,NA,NA,191,187
I personally would love this to happen for me to walk or cycle and with family in a safe environment without traffic to worry about and will cut down on people using vehicles,1,NA,NA,NA,NA,NA,NA,192,188
"We often drive to Yatton to cycle the strawberry line with our Children. It would be great to be able to cycle there directly, better for the community and the environment, giving an option to reduce some unnecessary car journeys on these co-located towns.",0,NA,NA,NA,NA,NA,NA,193,189
"Always looking for safe, traffic free country walks with our dogs. Also thinking of getting a bike soon and it would be great to have access to the Strawberry Line from my town. Will cut down on traffic/ cars between the 2 towns.",1,NA,NA,NA,NA,NA,NA,194,190
"I can remember the old ""push and shove"" steam train from Clevedon to Yatton, which I used to travel on to school.  Sometimes we would walk along the track (illegal, I'm sure!) and I would love to see a cycle/pedestrian path now there's, sadly, no railway line.   My grand-children would really enjoy the safe cycle route and a lot of people I know would use it as a footpath.",1,NA,NA,NA,NA,NA,NA,195,191
"As an ex -resident of Shipham  I know the area well and it would be great to see an old railway route restored for walkers, like myself and for cyclists.",0,NA,NA,NA,NA,NA,NA,196,192
cycling or walking form Yatton to Clevdon is not feasible due to the lack of pavements and the amount of traffic is growing as the significnat new building developments are completed. The path would support increasing an increase in healthy activities and thereby reduce some of the pressure on NHS from a healthier population. The path should also be open to horse riders,0,NA,NA,NA,NA,NA,NA,197,193
"I have used the Strawberry Line route for many years and find the link from Clevedon (where I live) to Yatton across the Moors quite dangerous, especially the long straights. I cycle to Axbridge or Cheddar and much appreciate the off the road sections, it is so much more relaxing and less stressful. You get much more time to appreciate your surroundings whether it be flora or fauna. After the railway closure and before the M5, I would catch a train from WSM College to Yatton and walk the old Clevedon branch line to home. This link needs to be open to enjoy our beautiful countryside.",0,NA,NA,NA,NA,NA,NA,198,194
"This would be a really invaluable asset to Yatton and the new Bloor Homes development. People could cycle and walk to Clevedon amenities, reducing traffic and pollution, and promoting sustainability.",NA,NA,NA,NA,NA,NA,NA,199,195
"It would be advantageous to have a safe link on which to cycle, as the roads are too dangerous.",0,NA,NA,NA,NA,NA,NA,200,196
"Im a resident of Yatton and I am a frequent swimmer in Clevedon Marine lake. At the moment the only real option is to drive as the main road is too busy for cycling.  Having a cycle path would mean I could leave my car at home and cycle there instead, which would be much more beneficial for the environment and also for my own well being.",NA,NA,NA,NA,NA,NA,NA,201,197
I use the current Strawberry line for walking to help me keep mobile. I have also used it with a pushchair for taking grandchildren for a walk and sometimes take my Mum in her wheelchair. It would be wonderful if we could walk to/from Clevedon.,NA,NA,NA,NA,NA,NA,NA,202,198
"I like cycling for fitness and just the pleasure of it.  However, I find cycling in the UK somewhat scary.  I therefor tend to do most of my cycling in cycle friendly countries such as The Netherlands and Germany. I would love to cycle more here and spend more of my limited money in the local area.  Extending this cycle path would enable me to do so.",0,NA,NA,NA,NA,NA,NA,203,199
"I need this path to keep healthy, enjoy nature, protect  the environment and invest my leisure time and resources in Somerset. If it was open I would cycle to  Clevedon and swim at the sea pool even more than I do now, as it is a long and cumbersome drive to get there. So good to be able to arrive by bike!",NA,NA,NA,NA,NA,NA,NA,204,200
I can get to the Old Inn in Clevedon without having to drive and on a safe route exercise and a few pints!,NA,NA,NA,NA,NA,NA,NA,205,201
"I would like to ride the strawberry line but my car is to small to take my bike to Yatton station, so if I could ride from Clevedon it would be great and I could also cycle to the cafe.",1,NA,NA,NA,NA,NA,NA,206,202
We really need to provide safe spaces to encourage kids to love cycling and the outdoors. This cycle path would be a great way for kids and everyone to exercise and have fun. It would help small local businesses such as the Strawberry Line Cafe and businesses in Clevedon to have more people using the cycle path bringing people to the area.,NA,NA,NA,NA,NA,NA,NA,207,203
"When the Tutshill crossing is completed, it will mean I can catch the train from Worle to Yatton then cycle safely to Clevedon, then back home via Kingston Seymour, Tutshill and Wick St Lawrence.",0,NA,NA,NA,NA,NA,NA,208,204
"I live in Weston Super Mare and enjoy cycling.  I dont get out on the bike as much as I would like because of the inherent dangers of traffic on the major roads.  Weston in area near us is quite well served with a network of cycle paths whilst you remain within the town.  To go outside of the town your only option is to use the main roads.  What is really needed is a network of paths between towns.  Clevedon and Yatton as well as Weston and Clevedon.  That would be great for the environment, health, tourism etc.  Hopefully it would help remove some of the congestion off of the road network as a cycle ride between Clevedon and Weston could be quicker by bike than by car because of the congestion and may be a really viable commuting option for some people.",0,NA,NA,NA,NA,NA,NA,209,205
We have used the existing Strawberry line cycle path in the past and enjoyed it. At a time when we are being encouraged to take responsibility for our health and for maintaining a healthy lifestyle cycling is an ideal activity. We would love to be able to cycle from Clevedon to a Yatton with our children and our grandchildren. A walking path would be great. We love walking to Portishead from Clevedon and expanding the possibilities would be a great asset for the community in the future!,0,NA,NA,NA,NA,NA,NA,210,206
We regularly cycle to Cheddar from Clevedon. We have a 4 year old son so to make it safe for him we have used a trailer. However he is now too old for a trailer so we wont be able to do the route until he is older unless we drive to Yatton to start our journey,0,NA,NA,NA,NA,NA,NA,211,207
I enjoy cycling for recreation and leisure and there is a total lack of safe cycle ways of any distance in this part of North Somerset. Such a cycle path would be greatly used by enthusiasts and families alike. Such an amenity is sorely needed and would be of immense value to those of us from Clevedon who use the rail link at Yatton. Link us up to Sustrans please,NA,NA,NA,NA,NA,NA,NA,212,208
My daughter lives in clevedon & I would like to cycl over there. <br /><br />Good for my health & the environment as today I drive there as the roads are <br /><br />Too dangerous.  My Grandson would then be able to cycle. Back with me.,1,NA,NA,NA,NA,NA,NA,213,209
"I live near to the Peak District ,we have a number of cycle/pedestrian paths they are really well used, and have  become a major tourist attraction people travelling from far afield to cycle or walk ,",NA,NA,NA,NA,NA,NA,NA,214,210
"I lived in Yatton for more than 30+ years and we (with our children) have cycled to Clevedon Pier; the journey took us using the B3133 (main road)to Kingston Seymour and then using the back lanes to Lower Strode road and onto Clevedon Pier. although this avoided much of the traffic, there were occasions where cars were also on the same back lanes; these lanes have lots of bends and cars are not always seen but heard and we took appropriate actions to avoid an accident. A cycle eun from Yatton to Clevedon would be much appreciated with more family using it....as with the current Strawberry line to Cheddar.",NA,NA,NA,NA,NA,NA,NA,215,211
We regularly visit Congresbury where we have family. Our grandson is rapidly growing up and it would be wonderful to be able to ride with him to Clevedon in safety. The roads are far too dangerous.,1,NA,NA,NA,NA,NA,NA,216,212
"I am a leisure cyclist and often cycle from Chruchill to Clevedon as part of a round route. The section between Clevedon and Yatton is often the least pleasant and more dangerous stretch, especially if cycling with less experienced cyclists. It means using some busy main routes which link the M5 motorway with North Somerset which means cycling with cars, vans, lorries and buses of all sizes.",0,NA,NA,NA,NA,NA,NA,217,213
We live in westbury sub mendp and send our child to draycott and rodney stoke first school. It would be amazing to walk/cycle the strawberry line to school and connect both villages. It is too dangerous to walk or cycle the main road. My aon could bike and walk to meet his friends and it would be a safe and healthy way to commute to cheddar and wells. We already use the strawberry line to walk the dog or go on a bike ride and use it from cheddar to yatton which we currently drive to. It would be absolutely fantastic if the cheddar to wells part was joined so we could use it from our home. We would explore more of the line and it would help with mental health and fitness being active and outdoors.,NA,NA,NA,NA,NA,NA,NA,218,214
"It would allow my children and I to sadly cycle and exercise. It will cut significantly car vine and pollution, it will attract visitors to Hatton and Clevedon from Bristol/Weston etc who will be hungry and thirsty and ready to eat locally.",0,NA,NA,NA,NA,NA,NA,219,215
My situation is to keep Healthy and safe whilst cycling. This new path would help the very young to the not so young,0,NA,NA,NA,NA,NA,NA,220,216
"We are a young couple living in Patton, we are very active, walking, running and cycling regularly. At the moment, if we need to go to clevedon we will either drive or takebour lives in our hands by cycling on the horrible roads. If the strawberry line opened up to clevedon, we would be able to cycle safely, helping to reduce emissions and cost to us. As well as this we would be much safer while running and cycling. And our dog would get better walks!",1,NA,NA,NA,NA,NA,NA,221,217
A cycle path/foot path from Yatton to Clevedon would be of great benefit and enable safe cycling/walking/running between the two towns. This would also link up with the proposed path from Weston super mare to Clevedon and encourage exercise and links between the two communities which may also help those that currently commute by car. I regularly ride between Weston super mare and Clevedon and would feel safer being able to choose to use an off road route.,0,NA,NA,NA,NA,NA,NA,222,218
"I am a keen  cyclist and would find this traffic free path a great feature and a sustainable transport , non polluting, way to get to Yatton.",0,NA,NA,NA,NA,NA,NA,223,219
"I live in Draycott, Nr Cheddar and I love to cycle to Yatton during the lovely summer days we have in here in Somerset. However, I would love to go further. All the way to Bristol perhaps? Anyway, it should not be about where I can travel but who can travel. The dangers on the roads in Somerset have increased exponentially with no solution in sight. Except building the Strawberry Line path and completing the Somerset Circle.",NA,NA,NA,NA,NA,NA,NA,224,220
"As a teacher in Cheddar and living in Clevedon I used to cycle to work twice a week.  Cycling from Yatton to Cheddar on the Strawberry Line was a joy, although the surface needs upgrading in my opinion.  Getting to Yatton from Clevedon was a totally different story as it is almost impossible in places for two cars and a cyclist to pass at the same point safely.  I had several near misses and one very close involving a speeding white van!  This a much needed commuter route, especially for those wanting access to Yatton station.",0,NA,NA,NA,NA,NA,NA,225,221
"Living in Portishead the extension to the Strawberry Line would give me and many others safe access to the wonderful countryside that is the Mendips and Somerset. The main road and the secondary route across Kenn Moor has become increasingly busy and appears to be a major link  for vehicles from North Somerset to the Motorway interchange at Clevedon.<br /><br /> In addition the traffic to and from the International airport has grown enormously and many drivers are using this route rather than the prescribed one via Cumberland Basin, the incomplete Bristol ring road and the A38.",1,NA,NA,NA,NA,NA,NA,226,222
"I work in Clevedon and live in Yatton. I have to drive as the bus service is not regular enough for commuting. I used to take my son to work in clevedon thereby making two journeys in the mornings as the buses did not run early enough for him to get to work on time. The cyclists and pedestrians we passed on our many journeys were in real peril, particularly when dark. I really cannot understand why at least a narrow footpath cannot be created on the grassed areas at side of road as at least pedestrians would not have to walk on the roads. If there was a safe option to cycle I am sure car journeys would be cut significantly but currently it is a dangerous option.",NA,NA,NA,NA,NA,NA,NA,227,223
"I live in Yatton and really enjoy visiting Clevedon, although the current route is really dangerous to ride and really bad to run. The extension will allow me to go to Clevedon without having to take the car.",0,NA,NA,NA,NA,NA,NA,228,224
"To provide and safe path between Yatton and Celevedon to allow cycling rather than car use. This will help reduce road traffic, risk of accidents involving cyclists along the main road and help improve fitness and mental welbeing for residents who like to use the cycle paths in the area.",NA,NA,NA,NA,NA,NA,NA,229,225
I love cycling and have been cycling whole of my life but now (age 69) use an electric bike which is too heavy to lift into my car. So cycling from Clevedon to  Axbridge and back would not be a problem if there was a cycle path from Clevedon to Yatton. What better way to keep fit than cycling!!!!,1,NA,NA,NA,NA,NA,NA,230,226
"I need a cycle path from Clevedon to Yatton to complete the North Somerset circle. Starting at Yatton I can cycle the existing Strawberry Line to Winscombe, I can then use small country lanes to cycle through Barton, Webbington and Bleadon. From Bleadon I use a short section of the A370 (cycle lane please) to get to Uphill, from here I can cycle to W-S-M seafront. From W-S-M seafront I will soon be able to cycle on the planned cycle path to Clevedon. That just leaves the missing link from Clevedon to Yatton.",NA,NA,NA,NA,NA,NA,NA,231,227
