"source","question","text"
"DNF-17","F8","Yes, we have some saving nowadays. My brother have purchased a motorbike. At the same time, we spend a lot of money for operation and while brother has gone abroad."
"DNF-17","H2","I am happy with what I have and what I am doing. I am caring for my family members and participate in community work so I consider my self as having good a wellbeing."
"DNF-17","H4","All of the family members are busy in their own work. These days we have some saving too. We are earning money through which we are providing a good education to the children. So everything is going well."
"DYF-1","A13","Father in law died in this period, thus my husband returned from abroad. Everything is going wrong since the death of my father in law. We are going through a bad period."
"DYF-1","B1","Recently father in law died. My husband is the  only  son in the family. So he had to perform all the rituals hence he returned back from abroad to complete  all the rituals."
"DYF-1","C1","We are farming tomato, maize and beans. Beside this, we have two cows, 5 pigs and 3 hens. We are doing the traditional way of farming. Until now we have not adopted any new technology on farming. Now farming is being difficult because of high labour cost, low production and change in seasonal climatic abruptions."
"DYF-1","D6","Usually we don’t sell pig. Most of the pigs are consumed during religious ceremonies. Remaining piglets we sell. As cost for rearing pig is high so we do not raise it to let pigs become mature. Thus income is determined by the number of piglets born at a time."
"DYF-1","E1","Husband has gone abroad but now he has returned back due to death of father in law. Beside this, we sell tomato, beans, milk products and hen. Apart from that my husband sometime goes for labour work as well."
"DYF-1","E4","No change at all. Earlier remittance used to be the sources of income. Now, this has  also stopped. So only animal rearing is thee source of income."
"DYF-1","F3","Father - in - law's death ritual ceremony cost a lot of money. In Rai culture we have to perform a lot of rituals to perform death rites. At the time when husband left for abroad we had to spend a lots of money to send him for work in processing charge."
"DYF-1","F5","For some year I have taken all the responsibility regarding income and expenses as my husband was in abroad. Now he manages all the income and expenses."
"DYF-1","F8","We had borrowed loan for father in laws death rituals. At the same time we already debts while my husband has gone abroad. When the father in law was active he even sold a piece of land. So in fact we have instead adding property we have lost in the last five years."
"DYF-1","H2","What we earn is not sufficient for food itself. We have to return the loan with interest. So we are in trouble really."
"DYF-1","H4","Due to emergency, husband had to return from abroad. There also he did not get good wages. We have a lot of loans, and we have no other income source. Expenses is increasing day by day. Even for a year father in laws ritual have to continue."
"DYF-10","A13","We are working very hard. My father is a retired army. He wants to do pig farming in a modern way but none of the banks provide loan for farming. Now my brother have migrated to Kathmandu for a education."
"DYF-10","C1","We have farming of avocado and banana.  Beside that, we cultivate spinach, bean, maize for self- consumption. Avocado has been a new experience of farming for us. Once while we had visited Kathmandu there we saw the avocado plant.  Later agriculture cooperative provided us with its plant.  We are interested in it due to  its market value. Also we have some hen, buffalo and goats that too at times give income."
"DYF-10","C3","Before we used to do tomato farming but now we have stopped it. Now we are farming avocado so it has been 4 years but this year only it have started giving fruits. Other grain which we farm is sufficient for pets and for household consumption. The income from pets is sufficient for ensuring food from them. The only benefit is that when we sell it we get money in lump sum."
"DYF-10","C5","The harvest that we cultivate for self-consumption, we do not use any fertilizer so we have low production.  Due to low production, we have to purchase a lot of food items including grain. In the meantime, due to plantation of tree at the boundary of the field and the shade of the tree, the production is further low."
"DYF-10","H2","First of all I have got good education and I have proper understanding of family. Every family member understands and respects each others feelings. We perform a task in coordination. I am happy with what we have. So over all we are better off comparatively."
"DYF-10","H4","Peace, harmony, cooperation in the family makes me happy and that is our family wellbeing. We all are living happily. We have a saving too so in a time of emergency also we need not to ask others for money."
"DYF-8","B1","All children have migrated to Kathmandu for grand children's better education and for employment. We two are only living here."
"DYF-8","C1","Now we are farming only a certain portion of land. Before we used to take others land on rent now we have stopped doing it as children have migrated to Kathmandu now."
"DYF-8","C3","We two husbands and wife are not able to work a lot. Thus we left most of the farming that we cultivated. Now we do only for self-consumption purposes."
"DYF-8","C5","We have reduced the proportion of farming that we used to cultivate previously. We are not able to work hard on filed. My sons and daughter are busy on their own work. So we produce less these days and that is too for self-consumption."
"DYF-8","D6","Pigs farming gives quite a good income but it requires hard work. If we are able to feed them on time with good food we can maximize the profit. At the same time if we are able to arrange a good breed of pig then the piglets will be high in numbers and even healthy too. In 6 months time period, we get a good price. But the problem is that it is difficult to feed them proper food on time. It is also tough to keep them clean to make it disease free."
"DYF-8","E1","At the time of the visit, children used to give us  some money. Beside this, we sell piglets with that income we are surviving."
"DYF-8","E2","I don’t have any income. We are totally depended on children. And occasionally we sell piglets."
"DYF-8","E4","We are dependent on children. We two can not  go for labour work as we are old enough for labour work."
"DYF-8","F1","We spend what we need to on medical purpose, travelling and food. Nowadays spending on medical purpose is high. On household spending nothing much had changed."
"DYF-8","F3","we are not earning anything now. So our expenses is also low. Substantive expenditure go to medicine. On food item we do not spend much."
"DYF-8","H2","I am suffering from stomach pain. Husband also being older cannot do hard work and have to depend on children."
"DYF-16","B3","Previously I was having muscle pain. I had problems in moving and working but now I am feeling better. Now father in law is suffering from illness time and again due to old age. But my health has improved."
"DYF-16","C3","At present what we grow in the field is more than enough for us. So we sell all the extra produce especially grain and vegetables in the market. We can sell it in Dhankutta market. Also nowadays the price of things has gone up and therefore there is an increased amount. And thus the amount of household income has also increased."
"DYF-16","C5","Due to a change in the seasonal pattern  especially climatic abruptions, production rate is comparatively low. Earlier except rice, we used to produce all the goods needed for us. But nowadays we purchase various goods from the market too. We also don’t have enough water supply for own self so there is always lack of water for our crops as well. This is an issue that has adversely affected our production."
"DYF-16","D6","For the piglets, we feed the food with vitamins that is available in the market which helps in increasing weight and helps piglet to grow faster. Most of the pig we consume by self. We rarely sell the pig. Rather we sell piglet. We are not rearing pig for sale rather for self-consumption. Thus we don't calculate the earning from the pig."
"DYF-16","E1","My husband is present ward chairperson. Thus his salary and allowance is the main source of income these days. Beside that, we sell hens, goats, some grains that adds to household earning."
"DYF-16","E2","I am a farmer thus what I grow I sell that in the market and that is my income. Nothing has changed in this period especially in the last five years as I have not changed the pattern of cultivation. I sell  pets sometime. The only change is that my husband is political representative of the village."
"DYF-16","E4","Salary of my husband, selling of pulses, maize and beans. We also sell milk product sometime. Beside this we sell hens, goat, piglet which has added to the increase of the amount of money in my household."
"DYF-16","F3","I manage all household expenses. What I sell in the market I take money by myself. Beside that husband give me what he earns. So nowadays I decide what to buy but earlier husband used to take all decisions. Husband is busy in village issues really."
"DYF-16","F8","I have saved some money in various women's group and even in a bank. But we don’t have purchased any assets. My husband is planning to do investment in other sector rather than agriculture."
"DYF-16","G1","We together take a decision regarding household expenses. While selling pets and grain, I decide myself and fixed the price of our goods. Earlier my husband was taking interest in selling things but after he being elected as ward chair all household related decision is taken by me."
"DYF-16","H2","I am happy. Nowadays we don’t have a problem with eating and clothing. We all are doing our own job. My husband is elected as a ward chairperson so everything is going well. The most important thing is now I  am healthy."
"DYF-16","H4","We all are living happily. We share with each other. We have a feeling of togetherness in the community. We have some saving we don’t have any problem."
"DYF-19","C1","Now we are farming lemon, maize and tomato. But maize is destroyed by monkey and deer. From tomato, we are not getting satisfactory price so we started farming lemon instead of tomato."
"DYF-19","C3","As our crops often are destroyed by monkey and deer and also this year we had great loss on tomato. We sold tomato low price. There was loss in this."
"DYF-19","C5","It is very difficult to continue farming in tis area due to wild animals destruction. We have left large chunk of land unfarmed because of monkey and deer they often come and destroy our crops."
"DYF-19","D2","We left pig farming because we were not getting benefit from it."
"DYF-19","D6","What we serve them is the waste food from our home which is the main reason that they don’t get weight so now we have left farming pigs. At the same time, no one is supporting us and also here there are no good species of breed too."
"DYF-19","E1","We are earning from labour work of husband, remittance and from lemon and tomato, but this year we had loss in tomato."
"DYF-19","E2","Yes I have started lemon farming."
"DYF-19","E4","Income has increased due to remittance money and labour work. Compared to five years ago earning  of the household has increased. Now we are focusing on products that has a market and this thinking was not there five years ago."
"DYF-19","F1","We have to buy most of the thing in household. We have to spend on education, foods, TV channels, phone charge and so on."
"DYF-19","F3","Altogether we have a good family earning. All family member give money to me and I spend on what we need to."
"DYF-19","F8","`"
"DYF-19","H2","Now, husband earns from labour work. We are getting remittance money also. Now from lemon farming we are getting some good amount of money. Beside that health condition of all of us is good. We all respect each other. I see all the family member happy, personally, I am also happy. No complains."
"DYF-19","H4","
Everybody is doing their part of work. We take a decision on sharing basis. We have some saving too. So we can afford our children a quality education. This is something that is adding to our confidence. This is the real change in the last five years."
"DYF-5","B1","One son is separated now. Both of them has gone abroad now and they are earning."
"DYF-5","B3","I have leg pain but I am not taking it seriously. It may be because of growing towards old age. We visit the hospital when we suffer sickness."
"DYF-5","C3","Now maize is damaged by monkey.  lentil is destroyed by deer. And also due to the market problem, we are not getting any profit and this year we had to bear loss on our investment as we had to sell tomato on so low price that we even didn’t get our investment."
"DYF-5","C5","We have production but no direct market so we are not getting any profit instead this year we had to bear loss."
"DYF-5","D2","We used to breed pig for veterinary and sell the piglet but now I am not doing it. Also some piglet is kept for worship and rituals. This is basically offering sacrifice to god for the good health of the family members and better production in the field."
"DYF-5","E1","My son has gone abroad so he sends remittance. From agriculture some time we earn whereas some time we bear all loss. Piglet also sold on low price as we have only local breed which is most common in the village so we don’t get paid more."
