text,female,older,key3,key4,key5,key6,key7,statement
"Frankly speaking, the most influential thing of GYA to me is the financial support (co-funding) to the AGM. My initial intentions to apply for GYA are 1) to get the glamour of being a GYA member  2) Good for CV   3) Able to go overseas to meet people (because it is hard to get a high percentage of sponsorship from the university)   4) possible research collaboration  5) of course, doing some contributions if possible since I always want to be a great scientist but I know my university work is very busy. However, after attending the first GYA, I felt great. I get to know multi-national and multi-disciplinary people. We all working together to tackle or voice out our opinions on the global issue, particularly science environment for young scientists. The most important, I learn about how members from different education system work effectively and also learn about their culture in daily life. I also find that what we are doing is very meaningful as a scientist. A scientist should not just publish as many papers as he-she can without considering the impact. Although the AGM themes usually are usually not related to my research field (which I think I cannot get any input for my research aspect), although if I attend GYA AGM, I will not have any chance to be sponsored by the university for another oversea academic conference anymore for that year, and although I had applied for a few research funding with GYA members but yet to get anyone, I still choose to attend GYA AGM every year rather than the conventional academic conference. In those conferences, friendship is not really built while in GYA AGM, we build the friendship because we work together on something voluntarily. After the second time attending AGM, I love it so much and till now I have never missed any AGM yet. In a few meeting with GYA members through Skype, I learnt that the chair controls the time very well within one hour. Also, I learnt that something looks tough can be slowly dissolved through step by step planning and  discussing of ideas. Note that, though my PhD supervisor is from the University of Cambridge, my entire education was carried out in Asia. I have never been nurtured by the western style of daring to voice out my opinion or daring to create a project to solve global issue etc. (Note: though many GYA members are from Asia, Africa and South America, they have studied in western countries) Furthermore, my English is not good. Through a few years of GYA membership, I observed and learnt this western characteristic gradually. To appreciate GYA, I involved in a few committee posts so that I make contributions as well. This year, I even accepted the challenge to be a co-lead of a working group. I have not had the courage to run for an EC post yet. The reasons are not having enough experience in this kind of organisation, as well as not enough time for my career. I am still striving to earn enough monthly salary for my family.",0,1,NA,NA,NA,NA,NA,95
"1) I have found many new long lasting friends here.  They are very eager to help among another.  2) Another GYA member and I  have a joint research grant together.  3) In addition, we also had a joint research publication in a very high impact journal.  4) As a member or alumni, GYA has given me opportunities in participating in many world-class meetings.  5) Ive learnt to lead discussions and wrote a whitepaper report which is not in my scientific field.  6) Many of my GYA friends have introduced me to their home cities and beers!  7) I am extremely proud to help establish the organization and continue to see its growth.",0,1,NA,NA,NA,NA,NA,96
"Being a member only for less than a year now, I do not have a long story about GYAs influence in my life yet. But my experience thus far through all communications from and with GYA has given me a sense of belonging. Academics globally and even more specifically women researchers and mother researchers face a number of challenges that make their lives and careers more difficult. In GYA discussions, sharing our challenges and strengths make them look smaller.",1,0,NA,NA,NA,NA,NA,97
"The GYA has enabled me to be connected with some of the most exciting minds I have every met. I have had the privilege of attending a number of great educational institutions, and to be post-doc or employed at a number of many others. Nowhere have I met the range, depth and enthusiasm and internationalism of attendees like at one of the annual general meetings. I have made connections (I hope) for life at the GYA.        -  ANother story would be the possibility of becoming engaged hands-on in matters related to the Sustainable Development Goals. I have had the honor to participate in various IAP meetings of the SCience for Poverty Eradication Committee (Beijing, Halle) and was able to connect to scholars here working on the question of how science can best inform the implementation of the SDGs. I hope that I was able to make several suggestions in all these fora that could strengthen SDG implementation and improve the networking of science academies working towards SDG implementation (as some of my research is on SDG governance, this was extra helpful). ---> please help edit this story if you like to use it, we can fine.-tune or tailor it",0,0,NA,NA,NA,NA,NA,98
"The GYA has enabled me to be connected with some of the most exciting minds I have every met. I have had the privilege of attending a number of great educational institutions, and to be post-doc or employed at a number of many others. Nowhere have I met the range, depth and enthusiasm and internationalism of attendees like at one of the annual general meetings. I have made connections (I hope) for life at the GYA.        -  ANother story would be the possibility of becoming engaged hands-on in matters related to the Sustainable Development Goals. I have had the honor to participate in various IAP meetings of the SCience for Poverty Eradication Committee (Beijing, Halle) and was able to connect to scholars here working on the question of how science can best inform the implementation of the SDGs. I hope that I was able to make several suggestions in all these fora that could strengthen SDG implementation and improve the networking of science academies working towards SDG implementation (as some of my research is on SDG governance, this was extra helpful). ---> please help edit this story if you like to use it, we can fine.-tune or tailor it",0,0,NA,NA,NA,NA,NA,99
"The GYA has enabled me to be connected with some of the most exciting minds I have every met. I have had the privilege of attending a number of great educational institutions, and to be post-doc or employed at a number of many others. Nowhere have I met the range, depth and enthusiasm and internationalism of attendees like at one of the annual general meetings. I have made connections (I hope) for life at the GYA.        -  ANother story would be the possibility of becoming engaged hands-on in matters related to the Sustainable Development Goals. I have had the honor to participate in various IAP meetings of the SCience for Poverty Eradication Committee (Beijing, Halle) and was able to connect to scholars here working on the question of how science can best inform the implementation of the SDGs. I hope that I was able to make several suggestions in all these fora that could strengthen SDG implementation and improve the networking of science academies working towards SDG implementation (as some of my research is on SDG governance, this was extra helpful). ---> please help edit this story if you like to use it, we can fine.-tune or tailor it",0,0,NA,NA,NA,NA,NA,100
GYA has been the window to know people from overseas and expand borders of my career,0,1,NA,NA,NA,NA,NA,101
"Since I became member of the GYA, I got respected in my institution and by colleagues. I was even nominated to be the President of a Network by I refused because as young scientist, I need to change thanks around me. With GYA, I got nominated to participate in a conference in Ghana. I meet colleagues from others countries so I learned how they are organized in their National Young Academy (NYA). When I went back I decided to create a NYA. So I contacted the secretary of the Senior Academy of Science whom is ready to help me and he is helping me to set NYA in my country. As member of the GYA, I got accepted to participate in a workshop in Beijing (China). Here, I met the executive director of the Integrated Research for Disaster Risk (IRDR) who is ready to help me set a create a research center on disaster management.  All those things are happening due to GYA.",0,0,NA,NA,NA,NA,NA,102
"I am extremely grateful for the opportunities given to me by membership in GYA. I remember vividly the moment I heard first about GYA (a national foundation who gave me an award for my PhD thesis suggested me) and was immediately fascinated by the truly global and interdisciplinary group of promising young scholars. When I became a member, my expectations were more than fulfilled: I found myself among like-minded committed young scholars who did not only do great work but were also wonderful persons. I think that the ""commitment to service"" criterium in the selection process is absolutely essential.    As one of the most positive aspects of my membership, I want to point out the friendships (across continents and disciplines) that resulted from close and professionally very fruitful collaboration within a working group where we managed to get external third party funding, organised events, and realised several publications.",0,1,NA,NA,NA,NA,NA,103
"I was honored to be the first GYA member from Cuba. As GYA is the voice of young scientists in the world, I am glad to be representing Cuba and its science. Furthermore, I have had the opportunity to let know other international researchers and academicians about the Cuban science achievements and today<U+FFFD>s challenges. In the GYA, I have been also involved in the SDGs work. Firstly, I represented the GYA Latin-American members in a Regional IAP-IANAS workshop held in Mexico that was addressing the implementation challenges of SDGs in my region. More recently, I participated in CILAC 2018 (Open Science Forum for Latin America and the Caribbean) in Panama in which the SDGs were one of the main topics.",0,1,NA,NA,NA,NA,NA,104
What I enjoy most about GYA provides a platform for border-less interaction (in academic and social events) of scholars from different disciplines which is not quite possible in the conventional research environment that I have experienced. This itself has already contributed to empowering many young academies with continuous capacity building.     I also love the ombudsperson or the shadow EC. A great idea indeed!,1,1,NA,NA,NA,NA,NA,105
"Being involved in collaborative effort with colleges from across to globe, to enhance the experience of young faculty.",1,1,NA,NA,NA,NA,NA,106
"The GYA has allowed me to meet like-minded scientists. Even though I am not part of the GYA, I have participated in various activities with some of its members (mainly in the CILAC forum). I always felt like a bit of an oddball scientist because I do not conform to the ""traditional"" scientist model. I dont like to be on the lab all the time and I enjoy mingling in interdisciplinary circles. As I said before, the GYA introduced me to a vast network of scientists like me. This has allowed me to make new friends, expand my network and hone my ""soft skills"". Most importantly it has inspired me to pursue the establishment of a National Young Academy at home and to keep pushing for a further enhance the role of science in the public discourse and public policy.",0,0,NA,NA,NA,NA,NA,107
"The process of establishing and supporting and being part of the Science Leadership Programs has been hugely influential for me. It has led to new friendships across borders, to deep learning about how we can collaborate, to insight in the process of creative problem solving and to new experiences as a facilitator. It has been fantastic to meet so many of our SLP fellows and get to know them over the course of an intensive week, and keep in touch with them over time. It has been inspirational to work with people like Bernard Slippers, who has a big vision for improving the state of science and its contribution to society in Africa. And it has been wonderful to learn from the facilitators of KnowInnovation-Inclusive Innovation, who have been so committed to partnering with us in developing a program with a strong ripple effect. Im very curious where it will lead us next.",1,0,NA,NA,NA,NA,NA,108
i got learned about the good program of training. i learn to get the network,0,0,NA,NA,NA,NA,NA,109
"The GYA has brought me many friendships that are also very diverse. My respect for young scholars from different backgrounds, including LMIC, has increased significantly. Getting to know them and listening to their stories is humbling and inspiring.    These friendships have also led to trust, and beautiful collaborations, even if sometimes the trust is shaken when friends cannot live up to their commitments - but we also learn to forgive as we understand the difficulties and pressures our friends are facing.",0,1,NA,NA,NA,NA,NA,110
"The GYA has profoundly affected how I think about cultural diversity. I even wrote a blog about it that was republished in one of the early issues of Connections.  Though I confess I didnt tell the really meat of the story, which involved an incident during the General Assembly that divided the organization roughly along so-called developed vs developing  country lines (and I acknowledge the loaded nature of those terms).  The issue at stake was, at base, about differing interpretations of democracy and its consequences for decision-making. It nearly tore the organization apart and took a year to repair some of the damage done. But repair we did, and the individuals at the center (who were both on the EC at the time) found their way past their disagreements to become dear friends.  This incident, and the year of repair afterwards, taught me more about communication and leadership, I suspect, than any course or training. The GYA was important because it is hard to imagine this happening anywhere else, especially at an early career stage.",0,1,NA,NA,NA,NA,NA,111
"The GYA has helped me to connect to a deep commitment I have to engage, to serve and to help build a better world. Every day, the GYA also helps me to see the potential for social impact of my research and expertise.",0,1,NA,NA,NA,NA,NA,112
It gave me the passion towards supporting the role of young scientists,0,1,NA,NA,NA,NA,NA,113
"GYA motivated me to set up the Benin Young Academy of Science, with their advices.",0,0,NA,NA,NA,NA,NA,114
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,115
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,116
Being GYA member is one the best things in my life. I got so many opportunities through GYA. And the members in GYA are amazing. They are brilliant yet very humble and humane. GYA is definitely the best platform any scientist should ask for to be a better person in career and life.,1,0,NA,NA,NA,NA,NA,117
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,118
"It has been a privilege to become a GYA member and represent this organization in global meetings. Winning the membership itself has given me a strong motivation and confidence to speak up my thoughts and vision regarding young scientists role in advancing science, health, and research in all regions of the world.",0,0,NA,NA,NA,NA,NA,119
"It has been a privilege to become a GYA member and represent this organization in global meetings. Winning the membership itself has given me a strong motivation and confidence to speak up my thoughts and vision regarding young scientists role in advancing science, health, and research in all regions of the world.",0,0,NA,NA,NA,NA,NA,120
Being GYA member is one the best things in my life. I got so many opportunities through GYA. And the members in GYA are amazing. They are brilliant yet very humble and humane. GYA is definitely the best platform any scientist should ask for to be a better person in career and life.,1,0,NA,NA,NA,NA,NA,121
"Be part of the GYA is one of the most important opportunities that I had and one of which that I am particularly proud. It has represented an open mining processes from an academic but more important human perspective. I have new friends, interact with people with very different academic backgrounds, and from countries from all over the world. I think that this diversity of life histories and cultures feed me and have make me a better person.",0,1,NA,NA,NA,NA,NA,122
"Frankly speaking, the most influential thing of GYA to me is the financial support (co-funding) to the AGM. My initial intentions to apply for GYA are 1) to get the glamour of being a GYA member  2) Good for CV   3) Able to go overseas to meet people (because it is hard to get a high percentage of sponsorship from the university)   4) possible research collaboration  5) of course, doing some contributions if possible since I always want to be a great scientist but I know my university work is very busy. However, after attending the first GYA, I felt great. I get to know multi-national and multi-disciplinary people. We all working together to tackle or voice out our opinions on the global issue, particularly science environment for young scientists. The most important, I learn about how members from different education system work effectively and also learn about their culture in daily life. I also find that what we are doing is very meaningful as a scientist. A scientist should not just publish as many papers as he-she can without considering the impact. Although the AGM themes usually are usually not related to my research field (which I think I cannot get any input for my research aspect), although if I attend GYA AGM, I will not have any chance to be sponsored by the university for another oversea academic conference anymore for that year, and although I had applied for a few research funding with GYA members but yet to get anyone, I still choose to attend GYA AGM every year rather than the conventional academic conference. In those conferences, friendship is not really built while in GYA AGM, we build the friendship because we work together on something voluntarily. After the second time attending AGM, I love it so much and till now I have never missed any AGM yet. In a few meeting with GYA members through Skype, I learnt that the chair controls the time very well within one hour. Also, I learnt that something looks tough can be slowly dissolved through step by step planning and  discussing of ideas. Note that, though my PhD supervisor is from the University of Cambridge, my entire education was carried out in Asia. I have never been nurtured by the western style of daring to voice out my opinion or daring to create a project to solve global issue etc. (Note: though many GYA members are from Asia, Africa and South America, they have studied in western countries) Furthermore, my English is not good. Through a few years of GYA membership, I observed and learnt this western characteristic gradually. To appreciate GYA, I involved in a few committee posts so that I make contributions as well. This year, I even accepted the challenge to be a co-lead of a working group. I have not had the courage to run for an EC post yet. The reasons are not having enough experience in this kind of organisation, as well as not enough time for my career. I am still striving to earn enough monthly salary for my family.",0,1,NA,NA,NA,NA,NA,123
"The process of establishing and supporting and being part of the Science Leadership Programs has been hugely influential for me. It has led to new friendships across borders, to deep learning about how we can collaborate, to insight in the process of creative problem solving and to new experiences as a facilitator. It has been fantastic to meet so many of our SLP fellows and get to know them over the course of an intensive week, and keep in touch with them over time. It has been inspirational to work with people like Bernard Slippers, who has a big vision for improving the state of science and its contribution to society in Africa. And it has been wonderful to learn from the facilitators of KnowInnovation-Inclusive Innovation, who have been so committed to partnering with us in developing a program with a strong ripple effect. Im very curious where it will lead us next.",1,0,NA,NA,NA,NA,NA,124
"The GYA has profoundly affected how I think about cultural diversity. I even wrote a blog about it that was republished in one of the early issues of Connections.  Though I confess I didnt tell the really meat of the story, which involved an incident during the General Assembly that divided the organization roughly along so-called developed vs developing  country lines (and I acknowledge the loaded nature of those terms).  The issue at stake was, at base, about differing interpretations of democracy and its consequences for decision-making. It nearly tore the organization apart and took a year to repair some of the damage done. But repair we did, and the individuals at the center (who were both on the EC at the time) found their way past their disagreements to become dear friends.  This incident, and the year of repair afterwards, taught me more about communication and leadership, I suspect, than any course or training. The GYA was important because it is hard to imagine this happening anywhere else, especially at an early career stage.",0,1,NA,NA,NA,NA,NA,125
"Im grateful for having had the opportunity to participate in the pre-CILAC scientific leadership training. Before this opportunity, I had given a little bit of thought to science diplomacy but very superficially. I didnt know organizations like TWAS, IAP and GYA existed.    I didnt really know what I was getting into and Im so happy I did attend both the pre-conference training and CILAC. In simple words, these opportunities had a huge impact in my life:    (1) I met incredibly inspiring colleagues from around the world that think like me, making me feel like Im not alone which is often difficult when you are on of the few STEM PhDs in a tiny Caribbean island.  (2) To my surprise, I truly networked extensively at CILAC and made some great contacts outside of the GYA group that already have shown their worth by the offer of additional opportunities.  (3) The pre-conference training group really bonded well and now we have a resource for group mentoring through brainstorming together.  (4) I have made the decision to apply to a scientific diplomacy training in 2019.  (5) I will apply to GYA in Fall 2019.  (6) I feel empowered to move through with my intention of starting a non-profit in the U.S. Virgin Islands that was originally planned for the characterization of data gaps in the Territory. However, now I will weave the mission to reflect SDGs that are applicable to our objectives.",1,0,NA,NA,NA,NA,NA,126
"In a recent conference, I have personally seen how GYA is making tremendous efforts to communicate science to the civic society and contributing to spreading awareness about the UNs SDGs and also rallying for everyone to make an effort. GYA is in a perfect position, consisting of scientists from all over the world whom some Ive met to do amazing things in all sorts of fields which will certainly benefit humanity, society and the environment. Without the support of the GYA, I would not have had the opportunity to meet some of the members of the GYA and attended both the leadership workshop and conference. The leadership workshop was an eye-opening experience and was certainly instrumental in providing some bearings for me to navigate my next path in life as a scientist. I feel extremely inspired and motivated to do more and see how I can contribute to my country, science and the world as a whole.",1,0,NA,NA,NA,NA,NA,127
The GYA has helped to connect me to a bigger (global) network of like-minded and passionate researchers and helped to reinvigorate and inspire me in our challenging work to change the world.,1,0,NA,NA,NA,NA,NA,128
"When I became a member of INYAS, and then the GYA, I was going through a long and very stressful phase in my career. I was constantly being discriminated against by the Director of my institute and was being refused tenure in spite of my having a better performance than most of the tenured colleagues in my department. This is because I was a woman with an ambition, who refused to bow down and beg before the authorities. Being accepted as a member of the GYA gave me immense confidence boost, as did the successful founding of INYAS. When I attended the GYA AGM and interacted with people all across the globe, I had extremely satisfying discussions that opened up new vistas of thought for me, and helped me to dream bigger. This helped to put the negativities at the institute behind me and look forward. On a different note, my experience at the GYA gave me ideas, sometimes subtle ones, that could be incorporated in the functioning of INYAS. As I got involved with the GYA, I spoke to friends and colleagues in India about it, and promoted the GYA through social media. It is now very satisfying to see the increasing interest in India about the GYA, which is also reflected in the GYA membership. Especially satisfying for me is the fact that in the last two years, two INYAS members have been selected to be members of the GYA.",1,1,NA,NA,NA,NA,NA,129
"This is the speech I gave at the AGM in Eindhoven, which describes some of my story (at the bottom is a link to a related blogpost as well): 

The Global Young Academy has changed my life. And I don<U+FFFD>t mean the 14,003 emails that passed through my inbox in the past two years as of this morning. Those changed my <U+FFFD>daily<U+FFFD> life. 

No I mean it: the GYA has changed my life, my life course. 

Three weeks ago I was in South-Africa to help with the second edition of the Africa Science Leadership Program. It<U+FFFD>s a program to build leadership capacity in Africa and to shape the science system. The fellows came from around the continent. Angola, Egypt, Kenia, Nigeria, Mauritius. Many of them have big plans. A meteorite scientist from Morocco wants to set up an African Space Agency. You can<U+FFFD>t say that that<U+FFFD>s not a vision. 

It was not the first time I was in South-Africa or with the ASLP, but this time the conversations I had, they caused a whirlwind in my head. They made me realize that I need to change research direction, focus more on big problems such as the current migration crisis and the wellbeing of those people who are on the move. I<U+FFFD>m a psychologist and I work on how people traumatic experiences, especially young people. But I have done that mostly in highly resourced areas. There is still work to do there, but these are marginal improvements in comparison. So I am changing direction.  

My shift in direction is credit to the GYA. This organization does make change happen, starting on a very personal level.

See also this related blogpost: https:--trauma-recovery.net-2016-05-06-a-tornado-in-my-head-  and Tolus article in Nature regarding researchers changing paths. 

Epilogue: in the past few years, an all very much related to the GYA, I have conducted several projects related to the topic of refugees and migration. With the efforts of others, this has culminated in the GYAs mentoring program for refugee scholars (and related activities), a documentary in which the GYA features, an academic symposium on integration of refugees and migrants and a forthcoming interdisciplinary edited volume ""Responsibility for Refugee and Migrant Integration"" with Jan-Christoph Heilinger and Karly Kehoe. In all these activities, scholars with a refugee background have been actively involved and vocal about what they find important.",1,0,NA,NA,NA,NA,NA,130
"GYA has opened up a lot of opportunities for me. These opportunities brought me to many places, and allowed me to experience diverse cultures and connect with varied individuals, but more importantly, gave me an opportunity to learn new things, enrich my skills, discover more of my talents, and think beyond my own research field. Being part of GYA means working in multi-disciplinary, multi-cultural, highly international projects. These enriching experiences would not be possible if I just concentrated on my own research field. This I believe is the most important influence GYA had on my own personal life and career.",0,1,NA,NA,NA,NA,NA,131
"The GYA has been very helpful in my work as Chair of a National Young Academy. I have been in constant touch with various members of the GYA who have been an important resource in helping me to build the organizational capacity as well as increase societal impact of my Young Academy. GYA members have been a source a great ideas and guidance so far. They have also helped to connect me, personally, to important opportunities for scientific and leadership development.",1,0,NA,NA,NA,NA,NA,132
"The GYA has impacted immensely on my personal and career development, professional network, capability to impact positively on young scientists, collaborators and my national young academy. In one respect, my professional network has greatly grown with my membership of the GYA with enhanced latitude for collaborative research and engagement. I was recently involved in putting up a proposal for the Africa Centres of Excellence for Development Impact (ACE Impact) Project on behalf of my University. This project involves the participation of regional and international collaborators. It was not difficult getting willing and capable collaborators from Ghana, Mauritius, Senegal and Zimbabwe from my GYA connections. The good news is that the bidding was successful. On another note the GYA has over the years enhanced my skills of mentorship, science communication and diplomacy through training opportunities that have been provided over the years. This has impacted positively on my voluntary support to younger scientists, collaborators and my national young academy, especially when I served as President of the body for 2 years. GYA gatherings were always opportunities to strengthen my ideas and have insights into new ideas which were always brought back home to drive one initiative or the other in my national young academy. Through these motivations, I was able to get a grant from the US Consulate in the commercial nerve centre of my Country to organise a capacity building workshop for young-early career women scientists in my country. My national young academy, with the support of the senior academy, thereafter got an IAP grant to replicate the workshop on a larger scale for young-early career women scientists in West Africa. It turned out to be a very successful event. My involvements in working group activities, the planning and execution of the 2nd Africa Young Academies Regional Conference in Mauritius, the GloSYS Africa Project etc. have greatly sharpened by team work, leadership and collaborative engagement skills. My membership and involvements in the GYA also opened many doors of opportunities for me for personal and professional development.",0,1,NA,NA,NA,NA,NA,133
The international community inspired me mostly.,1,1,NA,NA,NA,NA,NA,134
"For me it was amazing to meet all of young leaders from different fields, from different places of the world. I was always attending specialized meeteings and conferences, but this was something totally different. It is really great, to have all people with different experience and background, but with something very important and common: they are active part of the world, they are really willing to make changes in this world. For me this is the most important part of GYA-    Another important part is Workgroup Bio2Bio, which started at GYA, but I believe it will be very important worldwide, with national institutions of many countries and international institutions to be actively involved.",0,1,NA,NA,NA,NA,NA,135
1) The heartful support of some GYA colleagues in difficult and challenging moments.    2) The bond that connects the totally different disciplines and fields of knowledge of some GYA colleagues and makes them converge in newly created initiatives launched for the benefit of global positive societal impact (we hope!).,1,0,NA,NA,NA,NA,NA,136
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,137
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,138
